epoch,step,test/accuracy,test/f1,test/loss,train/accuracy,train/f1,train/loss,val/accuracy,val/f1,val/loss
8,5732,,,,,,,0.8520671725273132,0.8140819668769836,0.6124152541160583
8,5732,,,,0.5907374024391174,0.6219053864479065,1.066182017326355,,,
9,6369,,,,,,,0.8252583742141724,0.7925361394882202,0.5701970458030701
9,6369,,,,0.616592288017273,0.6519647836685181,0.9885191917419434,,,
10,7006,,,,,,,0.8785529732704163,0.8420240879058838,0.5196255445480347
10,7006,,,,0.6341559290885925,0.6759197115898132,0.9336073398590088,,,
11,7643,,,,,,,0.8966408371925354,0.833317220211029,0.603195071220398
11,7643,,,,0.6464210152626038,0.6886520385742188,0.8913439512252808,,,
12,8280,,,,,,,0.9008398056030273,0.8567730784416199,0.5038127899169922
12,8280,,,,0.6486778259277344,0.6887925863265991,0.9003316164016724,,,
13,8917,,,,,,,0.8927648663520813,0.8559554815292358,0.5435216426849365
13,8917,,,,0.6627581715583801,0.7043721079826355,0.8532334566116333,,,
14,9554,,,,,,,0.8869509100914001,0.8551291227340698,0.8194599747657776
14,9554,,,,0.6775744557380676,0.7221958041191101,0.8069047331809998,,,
15,10191,,,,,,,0.9027777910232544,0.8635203242301941,0.5509980320930481
15,10191,,,,0.6894471049308777,0.7356002330780029,0.774011492729187,,,
16,10828,,,,,,,0.9363695383071899,0.8820408582687378,0.425819456577301
16,10828,,,,0.6991119980812073,0.7420369386672974,0.7477710247039795,,,
17,11465,,,,,,,0.9069767594337463,0.8546806573867798,4.363394260406494
17,11465,,,,0.7009272575378418,0.746619462966919,0.7316576242446899,,,
18,12102,,,,,,,0.91989666223526,0.8770456910133362,0.5773476362228394
18,12102,,,,0.7130451798439026,0.7603293657302856,0.7021601796150208,,,
19,12739,,,,,,,0.9169896841049194,0.8766404390335083,1.33115816116333
19,12739,,,,0.7193740010261536,0.7635138034820557,0.683830738067627,,,
20,13376,,,,,,,0.9405684471130371,0.8919479250907898,0.6862016916275024
20,13376,,,,0.7248687744140625,0.77132248878479,0.6661391258239746,,,
21,14013,,,,,,,0.9399224519729614,0.8923764228820801,0.4327217638492584
21,14013,,,,0.7290879487991333,0.7771071791648865,0.6550118327140808,,,
22,14650,,,,,,,0.9531653523445129,0.9017946124076843,0.4046677052974701
22,14650,,,,0.7354658246040344,0.7849628925323486,0.634934663772583,,,
23,15287,,,,,,,0.947028398513794,0.8995001316070557,0.43913358449935913
23,15287,,,,0.7396359443664551,0.7869771122932434,0.6252974271774292,,,
24,15924,,,,,,,0.9253876209259033,0.8880051970481873,0.5042107701301575
24,15924,,,,0.7407153248786926,0.7897760272026062,0.6131899356842041,,,
25,16561,,,,,,,0.9589793086051941,0.9087144136428833,0.35586535930633545
25,16561,,,,0.7440023422241211,0.7919195890426636,0.6054246425628662,,,
26,17198,,,,,,,0.9560723304748535,0.9091184139251709,0.39594337344169617
26,17198,,,,0.7448854446411133,0.7942255735397339,0.5985467433929443,,,
27,17835,,,,,,,0.95510333776474,0.907700777053833,0.3803750276565552
27,17835,,,,0.746749758720398,0.7966741323471069,0.5921361446380615,,,
28,18472,,,,,,,0.9528423547744751,0.9052858948707581,0.40424612164497375
28,18472,,,,0.7474365830421448,0.7959137558937073,0.5865893959999084,,,
29,19109,,,,,,,0.9425064325332642,0.8995668292045593,0.5076888799667358
29,19109,,,,0.7508708238601685,0.7984411120414734,0.585882306098938,,,
30,19110,0.9392764568328857,0.8949936032295227,0.5416550636291504,,,,,,
